Accuracy,AUC,Log_Loss,Brier_Score
0.61954965508265,0.7164300682617905,0.617196974374486,0.21440506916111818
0.6174671352336327,0.7082176474319274,0.6224710548608404,0.21686903025080012
0.6328257191201354,0.7146305197537658,0.6194525067757178,0.2152842539175976
0.6300924118183001,0.715772341691437,0.6178036202947825,0.2146789578311414
0.6235845372901211,0.7083748298687224,0.6233771671741972,0.21706888947379235
0.631393986723936,0.7055816948924488,0.6253136026207826,0.21797488791694128
0.6191591826109593,0.7024301419293772,0.6270559488571842,0.21879460606841156
0.6196798125732136,0.7100804434486785,0.6220809323114866,0.2165241070610638
0.6218924899127944,0.7058644114473313,0.6248647767958189,0.2178331158979042
0.621111544969413,0.7096746911398303,0.6231371189500078,0.21687798423915308
0.6182480801770142,0.7121900817485383,0.619473651530744,0.2155777777737534
0.6325654041390082,0.7144772060684708,0.6179021448003993,0.21490805836736657
0.6199401275543408,0.7048595953215011,0.6249165686452474,0.21789633984262136
0.6238448522712482,0.7114472828758553,0.6195012945058704,0.21562970183260052
0.6136925680072888,0.7023590653678408,0.6273637265316104,0.21888544443941207
0.6225432773656124,0.7064248793563926,0.6234572581496735,0.21739137584788226
0.6185083951581414,0.7017464112238699,0.6277056893406308,0.21910113348655524
0.6229337498373031,0.7198386257644629,0.6146534307634584,0.2133864289412872
0.6268384745542106,0.7173586387360031,0.6176250543106243,0.2144885445522331
0.6144735129506703,0.699763032597266,0.6286102064307276,0.21954308898321892
0.6263178445919563,0.7121046028762813,0.6204114918442009,0.21585910842585335
0.6224131198750488,0.7117006216323766,0.6208117788949745,0.21599341455752283
0.6168163477808147,0.7060849304073837,0.6233363490281215,0.217351368823325
0.6278797344787193,0.7161744982816904,0.6182062423198513,0.21487019648603228
0.6244956397240661,0.7122626371049843,0.6202047884709023,0.2158001877338424
0.6152544578940518,0.7067477239692218,0.6240288312522998,0.21746962352036445
0.6252765846674476,0.7194005795792279,0.6168370398103671,0.21405410912456402
0.6199401275543408,0.7072098828355077,0.6240367932343183,0.21746628564451098
0.6263178445919563,0.7279048727413495,0.6083584439040755,0.21066477001859105
0.6212417024599766,0.7130059565479807,0.6196301061157674,0.21556480377968654
0.6289209944032279,0.7209596296787839,0.6139641872971298,0.21306114456330152
0.6233242223089939,0.711360720097384,0.6196962001140931,0.21572622531078403
0.6284003644409736,0.7124260148448227,0.6196986517473126,0.21559422979034695
0.6272289470259014,0.7179707047500749,0.6174977771957177,0.21435231566309407
0.6196798125732136,0.7005083921536526,0.6277523870965628,0.21914652978975338
0.6243654822335025,0.7176126660341563,0.6172621875311878,0.21434711144556795
0.629181309384355,0.7178775916567681,0.6156381723948222,0.21380484865916097
0.6213718599505401,0.7052166781132618,0.6239015525391993,0.21755641788078378
0.6196798125732136,0.716685202806378,0.616138804195198,0.21417481040537148
0.6273591045164649,0.7177075456520257,0.6168848136423027,0.21424492958171987
0.6247559547051933,0.7090216417041552,0.6218131045975294,0.21663819151532798
0.6104386307431993,0.7044229867359194,0.6254627256114151,0.21813364403403063
0.6190290251203957,0.715169961418209,0.6184792043274788,0.21496325719371956
0.6295717818560458,0.720205767965122,0.6151757174122735,0.21350321553548623
0.6241051672523754,0.7134995260167404,0.6178855697322175,0.21500830180293573
0.6308733567616817,0.7120354169620694,0.6209871848428294,0.21603775646519838
0.6281400494598464,0.7106943737404615,0.6209026711709507,0.21616578747002474
0.6217623324222309,0.7100103436947371,0.62127325660545,0.21632622852928404
0.6208512299882858,0.7080556582244579,0.6217855580868953,0.21668808727436284
0.6215020174411038,0.7162691342841455,0.617490426065061,0.2145224171859342
0.6126513080827801,0.7058346630872874,0.6249009585521541,0.21782832089939203
0.6233242223089939,0.716486874576517,0.6164698126148319,0.21426826936353552
0.6235845372901211,0.7153079327131586,0.6180374453519809,0.21481275597661487
0.626708317063647,0.713824871049296,0.6178154965394256,0.21486969348265383
0.6166861902902512,0.7099201835914296,0.6221300996556374,0.2165799421452093
0.6274892620070285,0.7186716728291603,0.616431965113765,0.21402823842555962
0.6209813874788495,0.7074292644642893,0.6238391079501846,0.2173658798684044
0.6246257972146297,0.7093814291174112,0.6222576929110678,0.21671428695131004
0.6263178445919563,0.7111833757785743,0.621082036313851,0.2162230621762421
0.6287908369126644,0.7179282163876443,0.6167613060307542,0.21415772222383325
0.6196798125732136,0.7086628163935266,0.623135708055337,0.21700150277000446
0.6234543797995574,0.7159998785369839,0.6169192611536483,0.21447605503613884
0.6192893401015228,0.7096246682948114,0.6215087250241884,0.21644393464446876
0.6238448522712482,0.7070579172957037,0.6238674642588024,0.21741592652812342
0.6256670571391384,0.7129985518727061,0.6184461565299034,0.2151809169614265
0.6229337498373031,0.7125613677802938,0.6189248255935328,0.21535991886112163
0.6215020174411038,0.7080020817718888,0.6234038724281533,0.21713105394804905
0.6287908369126644,0.7152838940516341,0.6186359440398381,0.21499940622009567
0.61954965508265,0.7118087401069466,0.6211043872182327,0.21608913895356424
0.62605752961082906,0.7056288752469846,0.6245465495178728,0.21779532351654038
0.6268384745542106,0.7168390699966959,0.6167016072927599,0.21428436371160287
0.6161655603279969,0.7080287741742557,0.6229798878627044,0.21703594474151996
0.6175972927241963,0.7029184683472477,0.6260434645574399,0.2184737395701904
0.6203306000260315,0.702688103168499,0.6270144262060232,0.21871344683206193
0.62827020695041,0.7214426588825156,0.6139525406093965,0.21301749332909606
0.6241051672523754,0.7071614200387911,0.6228318720346713,0.21708266027408177
0.621111544969413,0.7066853864889007,0.6233218618113355,0.21723549455921587
0.6138227254978524,0.7008120656729906,0.6285526963105575,0.21941480659799825
0.6285305219315371,0.7198612094047359,0.6142890428711979,0.21325086130614185
0.6268384745542106,0.7185314554988397,0.6150097931684132,0.21358104022891503
0.6164258753091241,0.7050131361269802,0.6246327208031207,0.21785967469944598
0.6230639073278668,0.7124147581079839,0.6215418833550767,0.21614621641081855
0.6235845372901211,0.7127586533132377,0.6212116281479895,0.21603690760994024
0.6160354028374333,0.7135027159245833,0.6193757929485759,0.21539640817525438
0.6234543797995574,0.711257815220737,0.6206115319913866,0.21605472474068924
0.6148639854223611,0.7028375533045617,0.6254587669818292,0.21829598293405467
0.6177274502147598,0.70858232197369,0.6226987437842229,0.2169569035173772
0.6263178445919563,0.7146383171635962,0.6188345930634747,0.2151594862529745
0.6315241442144995,0.7220885545061373,0.6130543768388391,0.2126828114421211
0.626708317063647,0.7104610368348075,0.6215441006590412,0.2163362799447039
0.6246257972146297,0.7107867176587557,0.6214959629805465,0.21629891452648928
0.6142131979695431,0.7071825842293061,0.6233015738637282,0.21723460158435481
0.634778081478589,0.7078218563381632,0.6231740947167315,0.2171243305440705
0.6230639073278668,0.7225865891555138,0.6124568137834449,0.21240426815238522
0.6183782376675778,0.7011561421990293,0.6270694692589431,0.21890403660547597
0.6237146947806846,0.714258845619079,0.6184264512587465,0.21506795563267983
0.6319146166861903,0.7186493676566654,0.61632295125346,0.213961870938201
0.6192893401015228,0.7093795594859622,0.6221210720355888,0.2165934761678337
0.6231940648184303,0.7126123372588006,0.6194764106744264,0.2155354497628414
0.6199401275543408,0.716017140476498,0.6175980600875394,0.21462450760033105
