"player1_id","player2_id","player1_ioc","player2_ioc","player1_age","player2_age","player1_ht","player2_ht","player1_hand","player2_hand","player1_ace","player2_ace","player1_df","player2_df","player1_svpt","player2_svpt","player1_1stin","player2_1stin","player1_1stwon","player2_1stwon","player1_2ndwon","player2_2ndwon","player1_bpsaved","player2_bpsaved","player1_bpfaced","player2_bpfaced","player1_svgms","player2_svgms","player1_rank","player2_rank","player1_rank_pts","player2_rank_pts","tourney_name","date","best_of","minutes","surface_Carpet","surface_Clay","surface_Grass","surface_Hard","diff_age","diff_ht","diff_rank","diff_rank_pts","diff_ace","diff_df","diff_svpt","diff_1stin","diff_1stwon","diff_2ndwon","diff_bpsaved","diff_bpfaced","diff_svgms","player1_1st_serve_pct","player2_1st_serve_pct","player1_1st_won_pct","player2_1st_won_pct","player1_bp_save_pct","player2_bp_save_pct","player1_total_points_won_pct","player2_total_points_won_pct","diff_1st_serve_pct","diff_1st_won_pct","diff_bp_save_pct","diff_total_points_won_pct","y"
103163,101543,"GER","USA",21.7,31.1,188,180,"R","L",18,7,4,8,96,106,49,55,39,39,28,29,3,4,5,7,17,17,11,63,1612,595,"Auckland",20000110,3,108,0,0,0,1,-9.4,8,52,1017,11,-4,-10,-6,0,-1,-1,-2,0,0.510416666666667,0.518867924528302,0.795918367346939,0.709090909090909,0.6,0.571428571428571,0.697916666666667,0.641509433962264,-0.00845125786163525,0.0868274582560297,0.0285714285714286,0.0564072327044025,1
102644,102607,"ARG","ESP",24.3,24.5,183,190,"L","R",5,5,10,3,74,76,32,52,25,39,18,13,3,5,6,6,12,12,49,211,723,157,"Auckland",20000110,3,85,0,0,0,1,-0.199999999999999,-7,162,566,0,7,-2,-20,-14,5,-2,0,0,0.432432432432432,0.68421052631579,0.78125,0.75,0.5,0.833333333333333,0.581081081081081,0.68421052631579,-0.251778093883357,0.03125,-0.333333333333333,-0.103129445234708,0
103252,102238,"ESP","ESP",21.3,26.5,175,173,"R","R",0,0,0,6,55,56,35,33,25,20,12,7,1,7,1,11,8,8,48,59,726,649,"Auckland",20000110,3,56,0,0,0,1,-5.2,2,11,77,0,-6,-1,2,5,5,-6,-10,0,0.636363636363636,0.589285714285714,0.714285714285714,0.606060606060606,1,0.636363636363636,0.672727272727273,0.482142857142857,0.047077922077922,0.108225108225108,0.363636363636364,0.190584415584416,1
103819,103507,"SUI","ESP",18.4,19.9,185,183,"R","R",11,5,2,1,70,53,43,28,29,26,14,15,6,0,8,0,10,10,61,45,616,768,"Auckland",20000110,3,68,0,0,0,1,-1.5,2,-16,-152,6,1,17,15,3,-1,6,8,0,0.614285714285714,0.528301886792453,0.674418604651163,0.928571428571429,0.75,1,0.614285714285714,0.773584905660377,0.0859838274932615,-0.254152823920266,-0.25,-0.159299191374663,0
102765,102103,"FRA","USA",23.7,27.3,185,180,"R","R",8,1,8,2,92,98,46,66,34,39,18,14,5,6,9,11,12,13,34,167,873,219,"Auckland",20000110,3,115,0,0,0,1,-3.6,5,133,654,7,6,-6,-20,-5,4,-1,-2,-1,0.5,0.673469387755102,0.739130434782609,0.590909090909091,0.555555555555556,0.545454545454545,0.565217391304348,0.540816326530612,-0.173469387755102,0.148221343873518,0.0101010101010102,0.0244010647737355,0
102021,101647,"USA","ZIM",27.8,30.2,175,175,"R","R",5,3,3,3,101,105,59,65,45,41,19,21,1,2,4,5,17,17,50,70,722,563,"Auckland",20000110,3,140,0,0,0,1,-2.4,0,20,159,2,0,-4,-6,4,-2,-1,-1,0,0.584158415841584,0.619047619047619,0.76271186440678,0.630769230769231,0.25,0.4,0.633663366336634,0.59047619047619,-0.0348892032060349,0.131942633637549,-0.15,0.0431871758604432,1
103066,101320,"NZL","SWE",22.2,33,185,185,"R","R",1,4,5,8,69,60,45,31,28,28,12,14,9,2,12,3,10,10,246,60,135,626,"Auckland",20000110,3,84,0,0,0,1,-10.8,0,-186,-491,-3,-3,9,14,0,-2,7,9,0,0.652173913043478,0.516666666666667,0.622222222222222,0.903225806451613,0.75,0.666666666666667,0.579710144927536,0.7,0.135507246376812,-0.281003584229391,0.0833333333333334,-0.120289855072464,0
102785,102563,"USA","SWE",23.7,24.7,188,180,"R","R",7,8,3,2,64,69,41,29,24,26,13,20,3,1,6,2,9,10,334,43,88,785,"Auckland",20000110,3,77,0,0,0,1,-1,8,-291,-697,-1,1,-5,12,-2,-7,2,4,-1,0.640625,0.420289855072464,0.585365853658537,0.896551724137931,0.5,0.5,0.578125,0.666666666666667,0.220335144927536,-0.311185870479394,0,-0.0885416666666666,0
101964,102854,"CRO","NED",28.3,23.3,193,193,"L","R",11,5,10,3,87,68,43,43,33,30,14,17,5,4,11,7,14,13,68,37,571,843,"Auckland",20000110,3,90,0,0,0,1,5,0,-31,-272,6,7,19,0,3,-3,1,4,1,0.494252873563218,0.63235294117647,0.767441860465116,0.697674418604651,0.454545454545455,0.571428571428571,0.540229885057471,0.691176470588235,-0.138100067613252,0.0697674418604651,-0.116883116883117,-0.150946585530764,0
102494,103082,"GER","GER",25,22.1,193,188,"R","R",3,0,1,3,41,63,28,29,23,21,10,11,2,5,2,9,8,8,115,95,344,416,"Auckland",20000110,3,57,0,0,0,1,2.9,5,-20,-72,3,-2,-22,-1,2,-1,-3,-7,0,0.682926829268293,0.46031746031746,0.821428571428571,0.724137931034483,1,0.555555555555556,0.804878048780488,0.507936507936508,0.222609368950832,0.0972906403940886,0.444444444444444,0.29694154084398,1
