Split,Accuracy,Precision,Recall,F1_Score,AUC,Log_Loss,Brier_Score
Train,0.662,0.666,0.65,0.658,0.732,0.605,0.209
Test,0.639,0.646,0.626,0.636,0.696,0.637,0.223
