tourney_date,tourney_name,surface,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,l_SvGms,winner_rank,loser_rank,winner_rank_points,loser_rank_points
20000110,Auckland,Hard,102021,Michael Chang,R,175,USA,27.8,101320,Magnus Gustafsson,R,185,SWE,33,7-5 3-6 1-0 RET,3,113,0,1,68,35,24,16,6,9,12,6,6,85,55,37,14,9,12,11,50,60,722,626
20000110,Auckland,Hard,103292,Gaston Gaudio,R,175,ARG,21,102854,Sjeng Schalken,R,193,NED,23.3,6-1 6-2,3,61,1,2,60,41,30,9,8,8,8,2,1,48,24,13,10,7,11,7,72,37,553,843
20000110,Auckland,Hard,102796,Magnus Norman,R,188,SWE,23.6,101820,Marc Rosset,R,201,SUI,29.1,6-2 6-2,3,65,7,2,55,31,25,12,2,2,8,5,7,55,27,21,7,4,8,8,14,46,1498,761
20000110,Auckland,Hard,102021,Michael Chang,R,175,USA,27.8,102607,Juan Balcells,R,190,ESP,24.5,6-3 3-6 6-2,3,105,5,0,82,51,36,16,8,10,13,5,2,90,72,43,9,8,12,13,50,211,722,157
20000110,Auckland,Hard,102796,Magnus Norman,R,188,SWE,23.6,103292,Gaston Gaudio,R,175,ARG,21,6-4 7-5,3,90,4,1,59,38,26,13,4,7,11,1,3,73,46,25,13,5,10,11,14,72,1498,553
20000110,Auckland,Hard,102796,Magnus Norman,R,188,SWE,23.6,102021,Michael Chang,R,175,USA,27.8,3-6 6-3 7-5,3,140,6,8,87,50,41,12,3,7,15,3,4,102,54,38,18,5,10,15,14,50,1498,722
20000522,St. Poelten,Clay,102247,Andrea Gaudenzi,R,183,ITA,26.8,103017,Nicolas Kiefer,R,183,GER,22.8,6-7(4) 3-0 RET,3,76,1,3,50,35,19,8,4,8,8,0,4,53,24,11,12,5,10,8,74,8,575,1874
20000522,St. Poelten,Clay,102287,Albert Portas,R,188,ESP,26.5,103242,Juan Giner,R,178,ESP,21.8,4-6 6-1 6-2,3,87,4,6,74,35,26,22,2,5,13,0,2,71,46,22,13,3,9,12,71,399,589,63
20000522,St. Poelten,Clay,102869,Galo Blanco,R,173,ESP,23.6,102987,Andre Sa,R,185,BRA,23,6-1 1-0 RET,3,36,1,0,21,12,7,7,0,1,5,0,3,25,11,4,4,0,4,4,70,86,593,481
20000522,St. Poelten,Clay,103082,Markus Hantschk,R,188,GER,22.5,103819,Roger Federer,R,185,SUI,18.7,6-2 6-1,3,54,0,0,36,17,14,15,0,0,7,2,2,64,36,19,10,6,11,8,94,54,428,735
20000522,St. Poelten,Clay,102446,Andrei Medvedev,R,193,UKR,25.7,102795,Scott Humphries,R,185,USA,23.9,6-3 4-6 7-6(4),3,122,5,5,108,69,46,18,7,12,15,4,4,104,67,45,12,4,10,16,21,720,1191,15
20000522,St. Poelten,Clay,103294,Christophe Rochus,R,170,BEL,21.4,102834,Paul Goldstein,R,178,USA,23.7,6-1 1-6 6-3,3,112,2,5,102,66,41,13,9,14,12,1,4,94,53,27,19,10,16,11,93,79,445,529
20000522,St. Poelten,Clay,102998,Jan Michael Gambill,R,190,USA,22.9,103344,Ivan Ljubicic,R,193,CRO,21.1,7-5 6-1,3,76,6,1,51,33,26,10,0,1,10,8,2,65,25,18,16,6,10,9,67,85,621,488
20000522,St. Poelten,Clay,102318,Andrei Pavel,R,183,ROU,26.3,102950,Fernando Vicente,R,180,ESP,23.2,6-4 7-5,3,91,1,3,70,57,34,6,3,6,11,0,5,83,56,32,12,4,9,11,43,30,813,956
