player1_id,player2_id,player1_age,player2_age,player1_ht,player2_ht,p1_hand_R,p1_hand_L,p1_hand_U,p2_hand_R,p2_hand_L,p2_hand_U,date,player1_rank,player1_rank_pts,player2_rank,player2_rank_pts,log_rank_diff,rankpoints_diff,ace_diff,df_diff,in1_pct_diff,won1_pct_diff,sv_win_pct_diff,bp_saved_pct_diff,bp_per_game_diff,p1_ace_percent,p1_doublefault_percent,p1_1in_percent,p1_1won_percent,p1_serve_win_percent,p1_breakp_saved,p1_breakp_succeed,p2_ace_percent,p2_doublefault_percent,p2_1in_percent,p2_1won_percent,p2_serve_win_percent,p2_breakp_saved,p2_breakp_succeed,player1_ace,player1_df,player1_svpt,player1_1stin,player1_1stwon,player1_2ndwon,player1_bpsaved,player1_bpfaced,player1_svgms,player2_ace,player2_df,player2_svpt,player2_1stin,player2_1stwon,player2_2ndwon,player2_bpsaved,player2_bpfaced,player2_svgms,y
103163,101543,21.7,31.1,188,180,1,0,0,0,1,0,20000110,11,1612,63,595,1.74523945359316,1017,0.121462264150943,-0.0338050314465409,-0.00845125786163525,0.0868274582560297,0.0564072327044025,0.0285714285714286,-0.117647058823529,0.1875,0.0416666666666667,0.510416666666667,0.795918367346939,0.697916666666667,0.294117647058824,0.4,0.0660377358490566,0.0754716981132075,0.518867924528302,0.709090909090909,0.641509433962264,0.411764705882353,0.428571428571429,18,4,96,49,39,28,3,5,17,7,8,106,55,39,29,4,7,17,1
102644,102607,24.3,24.5,183,190,0,1,0,1,0,0,20000110,49,723,211,157,1.46003783536544,566,0.00177809388335705,0.0956614509246088,-0.251778093883357,0.03125,-0.103129445234708,-0.333333333333333,0,0.0675675675675676,0.135135135135135,0.432432432432432,0.78125,0.581081081081081,0.5,0.5,0.0657894736842105,0.0394736842105263,0.684210526315789,0.75,0.684210526315789,0.5,0.166666666666667,5,10,74,32,25,18,3,6,12,5,3,76,52,39,13,5,6,12,0
103252,102238,21.3,26.5,175,173,1,0,0,1,0,0,20000110,48,726,59,649,0.206336432997829,77,0,-0.107142857142857,0.0470779220779221,0.108225108225108,0.190584415584416,0.363636363636364,-1.25,0,0,0.636363636363636,0.714285714285714,0.672727272727273,0.125,0,0,0.107142857142857,0.589285714285714,0.606060606060606,0.482142857142857,1.375,0.363636363636364,0,0,55,35,25,12,1,1,8,0,6,56,33,20,7,7,11,8,1
102765,102103,23.7,27.3,185,180,1,0,0,1,0,0,20000110,34,873,167,219,1.59163328780059,654,0.0767524401064774,0.0665483584738243,-0.173469387755102,0.148221343873518,0.0244010647737355,0.0101010101010102,-0.0961538461538461,0.0869565217391304,0.0869565217391304,0.5,0.739130434782609,0.565217391304348,0.75,0.444444444444444,0.0102040816326531,0.0204081632653061,0.673469387755102,0.590909090909091,0.540816326530612,0.846153846153846,0.454545454545455,8,8,92,46,34,18,5,9,12,1,2,98,66,39,14,6,11,13,0
102021,101647,27.8,30.2,175,175,1,0,0,1,0,0,20000110,50,722,70,563,0.336472236621213,159,0.0209335219236209,0.00113154172560113,-0.0348892032060349,0.131942633637549,0.0431871758604432,-0.15,-0.0588235294117647,0.0495049504950495,0.0297029702970297,0.584158415841584,0.76271186440678,0.633663366336634,0.235294117647059,0.75,0.0285714285714286,0.0285714285714286,0.619047619047619,0.630769230769231,0.59047619047619,0.294117647058824,0.6,5,3,101,59,45,19,1,4,17,3,3,105,65,41,21,2,5,17,1
103066,101320,22.2,33,185,185,1,0,0,1,0,0,20000110,246,135,60,626,-1.41098697371026,-491,-0.0521739130434783,-0.0608695652173913,0.135507246376812,-0.281003584229391,-0.120289855072464,0.0833333333333334,0.9,0.0144927536231884,0.072463768115942,0.652173913043478,0.622222222222222,0.579710144927536,1.2,0.25,0.0666666666666667,0.133333333333333,0.516666666666667,0.903225806451613,0.7,0.3,0.333333333333333,1,5,69,45,28,12,9,12,10,4,8,60,31,28,14,2,3,10,0
102785,102563,23.7,24.7,188,180,1,0,0,1,0,0,20000110,334,88,43,785,-2.04994087728314,-697,-0.00656702898550725,0.0178894927536232,0.220335144927536,-0.311185870479394,-0.0885416666666666,0,0.466666666666667,0.109375,0.046875,0.640625,0.585365853658537,0.578125,0.666666666666667,0.5,0.115942028985507,0.0289855072463768,0.420289855072464,0.896551724137931,0.666666666666667,0.2,0.5,7,3,64,41,24,13,3,6,9,8,2,69,29,26,20,1,2,10,0
101964,102854,28.3,23.3,193,193,0,1,0,1,0,0,20000110,68,571,37,843,-0.608589792531883,-272,0.0529073698444895,0.0708248816768086,-0.138100067613252,0.0697674418604651,-0.150946585530764,-0.116883116883117,0.247252747252747,0.126436781609195,0.114942528735632,0.494252873563218,0.767441860465116,0.540229885057471,0.785714285714286,0.545454545454545,0.0735294117647059,0.0441176470588235,0.632352941176471,0.697674418604651,0.691176470588235,0.538461538461538,0.428571428571429,11,10,87,43,33,14,5,11,14,5,3,68,43,30,17,4,7,13,0
102494,103082,25,22.1,193,188,1,0,0,1,0,0,20000110,115,344,95,416,-0.191055236762709,-72,0.0731707317073171,-0.0232288037166086,0.222609368950832,0.0972906403940886,0.29694154084398,0.444444444444444,-0.875,0.0731707317073171,0.024390243902439,0.682926829268293,0.821428571428571,0.804878048780488,0.25,0,0,0.0476190476190476,0.46031746031746,0.724137931034483,0.507936507936508,1.125,0.444444444444444,3,1,41,28,23,10,2,2,8,0,3,63,29,21,11,5,9,8,1
102227,103292,26.6,21,180,175,1,0,0,1,0,0,20000110,52,715,72,553,0.325422400434628,162,0.00917280917280917,-0.0356265356265356,-0.0855855855855856,-0.00139860139860137,-0.0217854217854219,-0.317307692307692,-0.294117647058823,0.0181818181818182,0.0454545454545455,0.5,0.690909090909091,0.581818181818182,0.470588235294118,0.625,0.00900900900900901,0.0810810810810811,0.585585585585586,0.692307692307692,0.603603603603604,0.764705882352941,0.307692307692308,2,5,110,55,38,26,3,8,17,1,9,111,65,45,22,9,13,17,0
