player1_id,player2_id,player1_age,player2_age,player1_ht,player2_ht,player1_hand,player2_hand,player1_ace,player2_ace,player1_df,player2_df,player1_svpt,player2_svpt,player1_1stin,player2_1stin,player1_1stwon,player2_1stwon,player1_2ndwon,player2_2ndwon,player1_bpsaved,player2_bpsaved,player1_bpfaced,player2_bpfaced,player1_svgms,player2_svgms,player1_rank,player2_rank,player1_rank_pts,player2_rank_pts,y,p1_ace_percent,p1_doublefault_percent,p1_1in_percent,p1_1won_percent,p1_serve_win_percent,p1_breakp_saved,p1_breakp_succeed,p2_ace_percent,p2_doublefault_percent,p2_1in_percent,p2__1won_percent,p2_serve_win_percent,p2_breakp_saved,p2_breakp_succeed,ace_diff,df_diff,in1_pct_diff,won1_pct_diff,sv_win_pct_diff,bp_saved_pct_diff,bp_per_game_diff
105449,106421,28.1,22,188,198,R,R,2,10,1,4,66,61,33,38,24,33,20,12,3,1,5,2,11,11,52,57,975,924,0,3.03030303030303,1.51515151515152,50,72.7272727272727,66.6666666666667,0.454545454545455,0.4,16.3934426229508,6.55737704918033,62.2950819672131,86.8421052631579,73.7704918032787,0.181818181818182,0.5,-0.133631395926478,-0.0504222553402881,-0.122950819672131,-0.141148325358852,-0.0710382513661203,0.1,0.272727272727273
105216,104547,29.4,32.8,173,188,R,L,9,5,4,2,110,104,54,57,42,38,23,29,5,2,10,6,17,17,40,66,1240,813,0,8.18181818181818,3.63636363636364,49.0909090909091,77.7777777777778,59.0909090909091,0.588235294117647,0.5,4.80769230769231,1.92307692307692,54.8076923076923,66.6666666666667,64.4230769230769,0.352941176470588,0.666666666666667,0.0337412587412587,0.0171328671328671,-0.0571678321678322,0.111111111111111,-0.0533216783216783,0.166666666666667,0.235294117647059
105960,111577,25.9,21.4,185,188,L,R,0,5,3,5,83,90,57,48,38,37,12,23,2,1,5,2,13,14,200,48,276,1038,0,0,3.6144578313253,68.6746987951807,66.6666666666667,60.2409638554217,0.384615384615385,0.6,5.55555555555556,5.55555555555556,53.3333333333333,77.0833333333333,66.6666666666667,0.142857142857143,0.5,-0.0555555555555556,-0.0194109772423025,0.153413654618474,-0.104166666666667,-0.0642570281124497,-0.1,0.241758241758242
106432,105385,21.3,28.6,188,183,R,L,6,1,2,2,44,42,23,25,18,11,13,6,0,0,0,5,7,7,49,99,1026,586,1,13.6363636363636,4.54545454545455,52.2727272727273,78.2608695652174,70.4545454545455,0,NA,2.38095238095238,4.76190476190476,59.5238095238095,44,40.4761904761905,0.714285714285714,1,0.112554112554113,-0.00216450216450216,-0.0725108225108225,0.342608695652174,0.29978354978355,NA,-0.714285714285714
124187,126203,20.5,20.3,211,193,R,R,19,5,10,3,100,119,55,74,46,52,27,30,5,8,6,9,16,16,199,74,276,714,0,19,10,55,83.6363636363636,73,0.375,0.166666666666667,4.20168067226891,2.52100840336134,62.1848739495798,70.2702702702703,68.9075630252101,0.5625,0.111111111111111,0.147983193277311,0.0747899159663866,-0.0718487394957983,0.133660933660934,0.0409243697478991,-0.0555555555555555,-0.1875
104269,105550,34.3,27.8,188,185,L,L,3,9,1,1,61,69,46,50,32,31,8,11,1,1,3,5,11,12,39,60,1260,880,1,4.91803278688525,1.63934426229508,75.4098360655738,69.5652173913043,65.5737704918033,0.272727272727273,0.666666666666667,13.0434782608696,1.44927536231884,72.463768115942,62,60.8695652173913,0.416666666666667,0.8,-0.0812544547398432,0.00190068899976241,0.0294606794963174,0.0756521739130435,0.0470420527441197,0.133333333333333,-0.143939393939394
105430,126774,28.3,19.5,175,193,R,R,0,4,6,2,59,67,38,39,24,28,6,15,1,7,5,9,10,10,88,71,643,756,0,0,10.1694915254237,64.4067796610169,63.1578947368421,50.8474576271186,0.5,0.8,5.97014925373134,2.98507462686567,58.2089552238806,71.7948717948718,64.1791044776119,0.9,0.222222222222222,-0.0597014925373134,0.0718441689855806,0.0619782443713635,-0.0863697705802969,-0.133316468504933,-0.577777777777778,-0.4
133430,105575,18.8,27.7,185,175,L,R,6,0,7,5,53,52,25,29,22,21,17,10,0,3,1,6,10,9,44,106,1166,548,1,11.3207547169811,13.2075471698113,47.1698113207547,88,73.5849056603774,0.1,1,0,9.61538461538462,55.7692307692308,72.4137931034483,59.6153846153846,0.666666666666667,0.5,0.113207547169811,0.035921625544267,-0.0859941944847605,0.155862068965517,0.139695210449927,-0.5,-0.566666666666667
105583,105041,27.6,30.3,180,185,R,R,1,7,1,2,64,62,40,34,28,25,16,12,4,1,5,4,10,10,91,103,621,561,1,1.5625,1.5625,62.5,70,68.75,0.5,0.2,11.2903225806452,3.2258064516129,54.8387096774194,73.5294117647059,59.6774193548387,0.4,0.75,-0.0972782258064516,-0.016633064516129,0.0766129032258065,-0.0352941176470589,0.0907258064516129,0.55,0.1
109739,103333,22.7,39,191,208,L,R,20,25,2,7,112,103,62,70,54,61,38,22,2,3,2,4,17,16,73,80,734,680,1,17.8571428571429,1.78571428571429,55.3571428571429,87.0967741935484,82.1428571428571,0.117647058823529,0,24.2718446601942,6.79611650485437,67.9611650485437,87.1428571428571,80.5825242718447,0.25,0.25,-0.0641470180305132,-0.0501040221914008,-0.126040221914008,-4.6082949308756e-4,0.0156033287101248,0.25,-0.132352941176471
104871,103898,31,36.2,188,185,R,R,12,3,2,8,71,82,38,42,31,29,16,20,2,5,4,8,11,11,100,58,580,907,1,16.9014084507042,2.8169014084507,53.5211267605634,81.578947368421,66.1971830985916,0.363636363636364,0.5,3.65853658536585,9.75609756097561,51.219512195122,69.047619047619,59.7560975609756,0.727272727272727,0.375,0.132428718653384,-0.069391961525249,0.0230161456544142,0.12531328320802,0.0644108553761594,-0.125,-0.363636363636364
105657,105166,27.3,29.7,193,180,R,R,25,1,3,6,129,124,66,70,50,57,37,33,5,4,7,6,18,18,81,134,677,412,0,19.3798449612403,2.32558139534884,51.1627906976744,75.7575757575758,67.4418604651163,0.388888888888889,0.285714285714286,0.806451612903226,4.83870967741935,56.4516129032258,81.4285714285714,72.5806451612903,0.333333333333333,0.333333333333333,0.185733933483371,-0.0251312828207052,-0.0528882220555139,-0.0567099567099567,-0.0513878469617405,0.0476190476190477,0.0555555555555556
