"Fraction","Accuracy"
0.1,0.867142193214654
0.2,0.872584678335985
0.3,0.884856200150685
0.4,0.882611463037614
0.5,0.886375209136539
0.6,0.887747215276199
0.7,0.892950233375765
0.8,0.896344789961811
0.9,0.89252591380251
1,NA
