Model,Variant,Split,Accuracy,Precision,Recall,F1_Score,AUC,Log_Loss,Brier_Score,Source
XGB_Tuned_,Default,Train,0.6258366800535475,0.5828609291025547,0.8836923763812926,0.7024221453287198,0.7231576919874257,0.6109253059930149,0.21193921012786435,Models/XGB_Tuned_/metrics_train_vs_test.csv
XGB_Tuned_,Default,Test,0.6237146947806846,0.5853956082258627,0.8677344355463704,0.6991362264543657,0.7126013096008376,0.6198295286796419,0.21563308715330876,Models/XGB_Tuned_/metrics_train_vs_test.csv
XGB_Tuned,CAL,Train,0.640673806336457,0.597747572815534,0.859024444692488,0.7049555738756067,0.7302532960979295,0.6058749966337641,0.20964435226262348,Models/XGB_Tuned/metrics_train_vs_test_CAL.csv
XGB_Tuned,CAL,Test,0.6295717818560458,0.5936415128814179,0.839318005683286,0.6954195205479451,0.7116845456420761,0.6204403780329025,0.21593521384973424,Models/XGB_Tuned/metrics_train_vs_test_CAL.csv
XGB_Tuned,RAW,Train,0.6335341365461847,0.5893484927818087,0.879450831566023,0.7057506270154066,0.7302532960979295,0.6046305946911752,0.20938898304559816,Models/XGB_Tuned/metrics_train_vs_test_RAW.csv
XGB_Tuned,RAW,Test,0.6248861121957568,0.5873829298462626,0.8586928442262981,0.6975865687303253,0.7116845456420761,0.6197536183675261,0.2157049423913443,Models/XGB_Tuned/metrics_train_vs_test_RAW.csv
XGB_Tuned,Default,Train,0.6265060240963856,0.5827059425480593,0.8898314544033933,0.7042402826855123,0.7302529974168718,0.6046311572386728,0.20938924749358376,Models/XGB_Tuned/metrics_train_vs_test.csv
XGB_Tuned,Default,Test,0.6212417024599766,0.5830596369922213,0.8713510720743994,0.6986329743164872,0.7116847150617903,0.6197598843444259,0.21570779216967956,Models/XGB_Tuned/metrics_train_vs_test.csv
XGB,Default,Train,0.8747211066488175,0.8719937936384794,0.8782230159616029,0.875097319541764,0.9522722914416272,0.39843601829271896,0.11997654102175048,Models/XGB/metrics_train_vs_test.csv
XGB,Default,Test,0.6368606013276064,0.6389817433787606,0.6419529837251357,0.6404639175257733,0.6924506981854194,0.642511367440403,0.2243213746026651,Models/XGB/metrics_train_vs_test.csv
