Model,Split,Accuracy,Precision,Recall,F1_Score,AUC,Log_Loss,Brier_Score,Source
XGB,Train,0.8747211066488175,0.8719937936384794,0.8782230159616029,0.875097319541764,0.9522722914416272,0.39843601829271896,0.11997654102175048,/Users/louisleicht/Statistical_Learning/Models/XGB/metrics_train_vs_test.csv
XGB,Test,0.6368606013276064,0.6389817433787606,0.6419529837251357,0.6404639175257733,0.6924506981854194,0.642511367440403,0.2243213746026651,/Users/louisleicht/Statistical_Learning/Models/XGB/metrics_train_vs_test.csv
RF,Train,0.6596385542168675,0.656513640845842,0.6688246456077688,0.6626119650558443,0.7270425867292947,0.8582757656629275,0.2516168567603748,/Users/louisleicht/Statistical_Learning/Models/RF/metrics_train_vs_test.csv
RF,Test,0.6513080827801639,0.6514997458057956,0.6621028158098683,0.6567584881486227,0.7049927379933613,0.969590984974892,0.2626199005596772,/Users/louisleicht/Statistical_Learning/Models/RF/metrics_train_vs_test.csv
NN,Train,0.662,0.666,0.65,0.658,0.732,0.605,0.209,/Users/louisleicht/Statistical_Learning/Models/NNs/NN/metrics_combined_final.csv
NN,Test,0.639,0.646,0.626,0.636,0.696,0.637,0.223,/Users/louisleicht/Statistical_Learning/Models/NNs/NN/metrics_combined_final.csv
LR,Train,0.6556782686300758,0.6557468694096601,0.6546489563567363,0.6551974529408479,0.7183486780519489,0.6136179848549778,0.2132876281346237,/Users/louisleicht/Statistical_Learning/Models/LR/metrics_train_vs_test.csv
LR,Test,0.6518287127424184,0.6558103178738927,0.6502195815034875,0.653002983525749,0.7121248674798993,0.6193127991715184,0.21555476662198664,/Users/louisleicht/Statistical_Learning/Models/LR/metrics_train_vs_test.csv
