Split,Accuracy,Precision,Recall,F1_Score,AUC,Log_Loss,Brier_Score
Train,0.6563,0.6569,0.6539,0.6554,0.7169,0.6147,0.2138
Test,0.6487,0.6515,0.651,0.6512,0.7116,0.6199,0.2157
