"0","1","MeanDecreaseAccuracy","MeanDecreaseGini","Feature"
58.8889909211448,67.2409730020564,70.5810899033146,3151.82697469203,"player2_bpfaced"
68.7882531270455,60.4235235482365,74.0060647820161,2934.15695467974,"player1_bpfaced"
45.2134231724691,36.8416065837789,52.6459281338283,1205.50408676797,"player2_1stwon"
35.0637747188566,46.8820984232875,52.5340629838135,1146.79972665367,"player1_1stwon"
17.965780272941,22.6174359581289,25.7875699613988,619.761472316932,"player1_bpsaved"
37.2636505955125,28.0769200615514,43.2270129747862,611.158841355446,"player2_2ndwon"
24.8174955371747,19.0791836723751,29.1062698154064,580.541345379352,"player2_bpsaved"
33.8746080786696,33.6516882618413,46.5859146957878,556.120558433106,"player1_2ndwon"
19.647037882948,16.7907108926335,24.3237900522212,528.971032616957,"player1_rank_pts"
18.4772673677998,17.6478106239301,24.5762249795322,527.924857278081,"player1_rank"
15.1167690458096,16.7929148076345,21.813292737853,522.253477685744,"player2_rank"
14.9361737734191,19.6001629705091,22.4418635351375,518.550096679999,"player2_rank_pts"
19.5668696847979,17.404501927072,24.6609076737903,416.596863983993,"player1_ace"
18.0148091851049,19.2009177419553,23.6377684541397,415.097647968892,"player2_ace"
14.2768033789217,16.3951861314481,22.6267020604379,398.553016491354,"player2_svpt"
15.9480289226047,14.274041073837,24.2716970803527,393.952867566204,"player1_svpt"
17.054762899127,16.9326591935325,23.9053527687335,367.468458731713,"minutes"
14.5070815299165,18.0302631562664,24.9404085107488,364.703771885574,"player1_1stin"
15.19106052328,15.0281893352802,24.9896332061229,361.660997028841,"player2_1stin"
-0.195495553195033,3.31516107092236,2.08097029356174,282.092060693347,"player1_age"
2.10169690574838,1.47441821953653,2.50377717668635,278.949721069867,"player2_age"
3.97389844488618,5.82181284243253,7.51040262316125,271.292115715264,"player1_id"
7.05167487927665,6.55579445206431,9.91233633420693,271.290483435469,"player2_id"
5.85801340673841,6.47390598690396,8.84337302173371,270.423884379719,"date"
11.403398221706,17.2782793877534,19.1137475100619,252.721116164353,"player1_svgms"
13.2943035786113,11.49468969192,17.177538247163,251.932869626615,"player2_svgms"
5.06680940841199,3.94465990032554,6.52501939676667,242.3468721976,"tourney_name"
11.3800950171736,9.71600598753553,14.6066819717364,232.476315422659,"player1_df"
9.10190416443739,11.2485182025684,14.6804827859338,226.377936635466,"player2_df"
3.3740222344754,-1.44375371367104,1.30325697647442,217.215899991312,"player2_ioc"
-0.0526925947030637,3.23470073971618,2.14415186180896,213.196578685696,"player1_ioc"
-0.0620750919218965,5.25863214644018,3.47036163155799,193.760679990405,"player1_ht"
3.82872902132298,3.25498416289274,5.00369019023194,188.077571665625,"player2_ht"
21.6355432269068,18.9197778072791,29.2436067721201,98.5096096231337,"best_of"
2.53495801664393,2.46893105423417,3.528295484386,71.3637296864214,"surface"
-0.69659744037131,2.42656224385593,1.25558964289381,30.9789440827432,"player1_hand"
-0.562744722237401,-0.97685038848897,-1.24506281052841,29.6166936222077,"player2_hand"
