Split,Accuracy,Precision,Recall,F1_Score,AUC,Log_Loss,Brier_Score
Train,0.6094935296742525,0.5712725684333139,0.8758790043531645,0.6915179554968054,0.7026048883560732,0.6351527508893058,0.22157241537415842
Test,0.6105687882337628,0.5748339860378001,0.8721260656161198,0.6929392446633825,0.7026472575827537,0.636633190498369,0.2217973886840159
